type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.24.1-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.24.1-1,-16.44714223708916,-71.60025413309126,8179818.46158963,222341.282142126,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44736802467085,-71.60048608363019,8179793.14474094,222316.821225912,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.4474309919734,-71.60038486156546,8179786.31236042,222327.725768924,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.4477569567679,-71.60046168038385,8179750.11747497,222319.982295132,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.4479140113765,-71.5999824726203,8179733.38746824,222371.40587916,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44726798413077,-71.59952388238133,8179805.54255223,222419.483541084,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44740251315015,-71.59917309987658,8179791.12987178,222457.153721416,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44764999335442,-71.59843866256658,8179764.73846308,222535.975380691,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44771781900718,-71.59821829088233,8179757.53166144,222559.617028767,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44773851300185,-71.59807905400045,8179755.43165753,222574.522939134,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44761986910042,-71.59806502192156,8179768.58661237,222575.853401434,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44753095750316,-71.59838952639719,8179777.98501192,222541.055891368,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44749227812374,-71.59857066764489,8179782.01872055,222521.647180315,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44732721591036,-71.59910019180826,8179799.56655348,222464.83630172,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44718887478817,-71.59949349775518,8179814.34290478,222422.617344916,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44701701500431,-71.59975422281416,8179833.0123255,222394.516003341,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.4468772267652,-71.59998193508007,8179848.17625074,222369.987465178,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44666207327078,-71.60026244326609,8179871.61171989,222339.71069543,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44665810208326,-71.60041182882351,8179871.84616096,222323.744143925,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44672826439467,-71.60064060841778,8179863.76378045,222299.400390084,False, , ,0, , , , , , 
TRACK,1.24.1-2, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.24.1-2,-16.44675059711452,-71.60011465541955,8179862.01378906,222355.626900079,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44694731525772,-71.5997679832055,8179840.71026026,222392.946590325,False, , ,0, , , , , , 
