type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.23.1-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.23.1-1,-16.4262669530522,-71.63322833169076,-1943067.00623878,2826982.22809451,False, , ,0, , , , , , 
TRACK,1.23.1-1,-16.42606367479599,-71.63354001882904,-1943039.23231325,2826949.55564651,False, , ,0, , , , , , 
TRACK,1.23.1-1,-16.42614306133173,-71.63381254090125,-1943045.13319923,2826917.64661663,False, , ,0, , , , , , 
TRACK,1.23.1-1,-16.42607771838821,-71.63390447355859,-1943036.30903554,2826908.07982383,False, , ,0, , , , , , 
TRACK,1.23.1-1,-16.42615386890494,-71.6341411892638,-1943042.27924581,2826880.26984576,False, , ,0, , , , , , 
TRACK,1.23.1-1,-16.42623671110746,-71.63424382987432,-1943050.71690817,2826867.56380078,False, , ,0, , , , , , 
TRACK,1.23.1-1,-16.42635890437939,-71.63426040728348,-1943064.8537642,2826864.09734735,False, , ,0, , , , , , 
TRACK,1.23.1-1,-16.42644886982936,-71.6341994827114,-1943076.17946884,2826869.83082032,False, , ,0, , , , , , 
TRACK,1.23.1-1,-16.42639923048842,-71.63414485741647,-1943071.03733067,2826876.66511956,False, , ,0, , , , , , 
TRACK,1.23.1-1,-16.42664506828042,-71.63376759144983,-1943104.63003824,2826916.21436745,False, , ,0, , , , , , 
TRACK,1.23.1-1,-16.42676369391163,-71.63384725271976,-1943117.55670909,2826905.64674324,False, , ,0, , , , , , 
TRACK,1.23.1-1,-16.42689992518774,-71.63354019834674,-1943137.40156075,2826938.66552593,False, , ,0, , , , , , 
TRACK,1.23.1-1,-16.42651890391993,-71.63308098401237,-1943098.43254625,2826995.64786093,False, , ,0, , , , , , 
TRACK,1.23.1-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.23.1-2,-16.42643329183246,-71.63449829425521,-1943070.60230347,2826836.17768642,False, , ,0, , , , , , 
TRACK,1.23.1-2,-16.4265508572116,-71.63442348091958,-1943085.34228453,2826843.12603173,False, , ,0, , , , , , 
TRACK,1.23.1-2,-16.42649072898908,-71.63423251971736,-1943080.67906897,2826865.54362251,False, , ,0, , , , , , 
