type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.16.1-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.16.1-1,-16.55565880441601,-71.44316524536797,8168014.45164474,239269.916344673,False, , ,0, , , , , , 
TRACK,1.16.1-1,-16.5554967398071,-71.44277037719255,8168032.90556867,239311.859393854,False, , ,0, , , , , , 
TRACK,1.16.1-1,-16.55498373602956,-71.44291924008182,8168089.50446412,239295.274497112,False, , ,0, , , , , , 
TRACK,1.16.1-1,-16.55515668942535,-71.44334692422379,8168069.8024764,239249.842135604,False, , ,0, , , , , , 
TRACK,1.16.1-2, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.16.1-2,-16.5556609585054,-71.44319955236328,8168014.16864046,239266.256192781,False, , ,0, , , , , , 
TRACK,1.16.1-2,-16.55515744224836,-71.4433885968522,8168069.66503507,239245.393636936,False, , ,0, , , , , , 
TRACK,1.16.1-2,-16.55535050605237,-71.4439261267207,8168047.59396993,239188.259873707,False, , ,0, , , , , , 
TRACK,1.16.1-2,-16.5558756058561,-71.44366051048213,8167989.80762705,239217.327398496,False, , ,0, , , , , , 
TRACK,1.16.1-3, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.16.1-3,-16.55634467515485,-71.44461388641655,8167936.64109936,239116.164645492,False, , ,0, , , , , , 
TRACK,1.16.1-3,-16.55589067877148,-71.44369322962427,8167988.0964947,239213.854181567,False, , ,0, , , , , , 
TRACK,1.16.1-3,-16.55533064982273,-71.44395752531743,8168049.75138432,239184.880619464,False, , ,0, , , , , , 
TRACK,1.16.1-3,-16.55559329280395,-71.44490191191417,8168019.44887917,239084.399395263,False, , ,0, , , , , , 
TRACK,1.16.1-4, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.16.1-4,-16.55678670135156,-71.44450240548474,8167887.85131554,239128.663039651,False, , ,0, , , , , , 
TRACK,1.16.1-4,-16.55661777761106,-71.44385003217799,8167907.39931641,239198.090908669,False, , ,0, , , , , , 
TRACK,1.16.1-4,-16.55630039059579,-71.44340472155814,8167943.11389403,239245.210463154,False, , ,0, , , , , , 
TRACK,1.16.1-4,-16.55589447419343,-71.4436119607209,8167987.781843,239222.536585103,False, , ,0, , , , , , 
TRACK,1.16.1-4,-16.55635780089178,-71.44461535269278,8167935.18610757,239116.025765433,False, , ,0, , , , , , 
TRACK,1.16.1-5, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.16.1-5,-16.55686735976779,-71.44520041342449,8167878.01521229,239054.243850012,False, , ,0, , , , , , 
TRACK,1.16.1-5,-16.55678552278873,-71.44454853387812,8167887.92187035,239123.73622288,False, , ,0, , , , , , 
TRACK,1.16.1-5,-16.55636338881026,-71.44466075371324,8167934.50852123,239111.185714042,False, , ,0, , , , , , 
TRACK,1.16.1-5,-16.55652998235675,-71.44522615184603,8167915.33121446,239051.041197152,False, , ,0, , , , , , 
TRACK,1.16.1-6, , ,10000000,11015404.4991538, , , , , , , , , , 
