type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.26.1-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.26.1-1,-16.55377627660471,-71.97500090460063,8167457.13672675,182471.120002377,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.55225959590786,-71.97466808174386,8167625.62945801,182504.183159275,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.55067595843623,-71.97494095585337,8167800.57951347,182472.439818833,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.54989165605587,-71.97485462696457,8167887.57439387,182480.375224969,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.54782287121035,-71.9743660639348,8168117.45643547,182529.170489706,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.54611162299095,-71.97356330177767,8168308.23895369,182612.115027437,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.54467007700039,-71.97367451590291,8168467.70849372,182597.873716726,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.54329127540634,-71.97399025638541,8168619.90617477,182561.887910486,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.54207825857283,-71.97271746792069,8168756.25349327,182695.859517888,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.53585166298612,-71.96825084262925,8169452.86948042,183162.803190399,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.53302140074195,-71.96682868746026,8169768.54898851,183310.098357806,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.52977127862594,-71.96551683908608,8170130.55040658,183444.929649149,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.52471068819883,-71.96438702776352,8170692.7638646,183557.366592176,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.52161330480839,-71.96411174191564,8171036.21643082,183581.723480807,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.51844021880697,-71.96156064311906,8171391.63015768,183849.088083205,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.51645377723954,-71.96069776310954,8171612.97356578,183938.036200211,False, , ,0, , , , , , 
TRACK,1.26.1-1,-16.51720839982991,-71.95893166738628,8171532.17675011,184127.941057054,False, , ,0, , , , , , 
