type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.27.8-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.27.8-1,-16.40511028844176,-71.56960863056411,8184513.79748553,225556.46144975,False, , ,0, , , , , , 
TRACK,1.27.8-1,-16.40504585534142,-71.56929361756991,8184521.35771385,225590.034667427,False, , ,0, , , , , , 
TRACK,1.27.8-1,-16.40457889589567,-71.5693954100949,8184572.91824175,225578.501474296,False, , ,0, , , , , , 
TRACK,1.27.8-1,-16.40441388178979,-71.56947655030395,8184591.07752333,225569.598923111,False, , ,0, , , , , , 
TRACK,1.27.8-1,-16.40446132520133,-71.5697336173734,8184585.47674499,225542.194122332,False, , ,0, , , , , , 
TRACK,1.27.8-2, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.27.8-2,-16.40555336013066,-71.56950673933591,8184464.88177835,225567.971716989,False, , ,0, , , , , , 
TRACK,1.27.8-2,-16.40610516830981,-71.56943453602194,8184403.88733581,225576.461974543,False, , ,0, , , , , , 
TRACK,1.27.8-2,-16.40606958044117,-71.56922119263686,8184408.11632634,225599.210699943,False, , ,0, , , , , , 
TRACK,1.27.8-2,-16.40562628755907,-71.56916636237827,8184457.2687818,225604.448079429,False, , ,0, , , , , , 
TRACK,1.27.8-2,-16.40508601546567,-71.56928470340881,8184516.92354667,225591.043621381,False, , ,0, , , , , , 
TRACK,1.27.8-2,-16.40512832595062,-71.56958522461643,8184511.83220522,225558.988020285,False, , ,0, , , , , , 
TRACK,1.27.8-3, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.27.8-3,-16.40479058797929,-71.57007285334215,8184548.56359036,225506.403915802,False, , ,0, , , , , , 
TRACK,1.27.8-3,-16.40520911269824,-71.56999115886244,8184502.33819635,225515.721543855,False, , ,0, , , , , , 
TRACK,1.27.8-3,-16.40512911017006,-71.56964371351656,8184511.66615853,225552.738748832,False, , ,0, , , , , , 
TRACK,1.27.8-3,-16.40446274220578,-71.56977614178507,8184585.26226379,225537.651755881,False, , ,0, , , , , , 
TRACK,1.27.8-3,-16.4045000300971,-71.57007278818293,8184580.73217158,225506.00308184,False, , ,0, , , , , , 
TRACK,1.27.8-4, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.27.8-4,-16.40556656090212,-71.56993728768181,8184462.83706526,225521.980118789,False, , ,0, , , , , , 
TRACK,1.27.8-4,-16.40560373576131,-71.56998738567766,8184458.65346154,225516.678621233,False, , ,0, , , , , , 
TRACK,1.27.8-4,-16.40564412707084,-71.57008569764312,8184454.04843447,225506.229302941,False, , ,0, , , , , , 
TRACK,1.27.8-4,-16.40618016948345,-71.5700291258354,8184394.7782863,225513.027169822,False, , ,0, , , , , , 
