type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.1.1-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.1.1-1,-16.39105912803267,-71.52870505086037,-1940246.4121816,2839288.29387476,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39111194206456,-71.52867079887965,-1940253.0477055,2839291.48867356,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39108462395294,-71.52840592271699,-1940253.17524473,2839321.88074113,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39106808310988,-71.52814913153499,-1940254.4669865,2839351.21542527,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39101739998142,-71.52796254781558,-1940250.86364083,2839373.03452258,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39060189462215,-71.52824899349221,-1940198.44572811,2839345.97514634,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39087216235909,-71.52852308498677,-1940226.7414874,2839311.36766057,False, , ,0, , , , , , 
TRACK,1.1.1-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.1.1-2,-16.39074650513318,-71.52789206279977,-1940219.92939947,2839384.56233786,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39071414135841,-71.52782255596458,-1940217.00319132,2839392.86644148,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39066190353347,-71.52763742682004,-1940213.19887676,2839414.54097185,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.3905760891798,-71.52751024514166,-1940204.72033216,2839430.08270763,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39035513407148,-71.52719605013749,-1940182.7225241,2839468.59463203,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39021109244331,-71.52687237739072,-1940169.87920808,2839507.17769966,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39006086741708,-71.52655829019662,-1940156.18877411,2839544.75461183,False, , ,0, , , , , , 
