type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.7.1-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.7.1-1,-16.446684847848,-71.56266414135565,-1946351.90314052,2834712.23437691,False, , ,0, , , , , , 
TRACK,1.7.1-1,-16.4464463897369,-71.5624509517835,-1946326.5870999,2834739.5112522,False, , ,0, , , , , , 
TRACK,1.7.1-1,-16.4460816948027,-71.56216543036285,-1946287.35794477,2834776.63514631,False, , ,0, , , , , , 
TRACK,1.7.1-1,-16.44595641212454,-71.56235171929534,-1946270.29595924,2834757.15952866,False, , ,0, , , , , , 
TRACK,1.7.1-1,-16.44657102867252,-71.56281955424731,-1946336.57677238,2834696.10836076,False, , ,0, , , , , , 
TRACK,1.7.1-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.7.1-2,-16.44669938010959,-71.5626421898691,-1946353.88657883,2834714.53229212,False, , ,0, , , , , , 
TRACK,1.7.1-2,-16.44689349497661,-71.56242166786798,-1946379.46379805,2834736.98802283,False, , ,0, , , , , , 
TRACK,1.7.1-2,-16.44658806919042,-71.56214805456366,-1946347.04510003,2834771.9879491,False, , ,0, , , , , , 
TRACK,1.7.1-2,-16.44629665716129,-71.56190315758481,-1946315.90999492,2834803.5503783,False, , ,0, , , , , , 
TRACK,1.7.1-2,-16.44612369479366,-71.56211438537868,-1946292.93401594,2834781.87141658,False, , ,0, , , , , , 
TRACK,1.7.1-3, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.7.1-3,-16.44690173692154,-71.56239035375407,-1946380.82657707,2834740.42920713,False, , ,0, , , , , , 
TRACK,1.7.1-3,-16.44709572148789,-71.5621645265297,-1946406.45548749,2834763.48782601,False, , ,0, , , , , , 
TRACK,1.7.1-3,-16.44653492631836,-71.56167278210926,-1946346.79707488,2834826.54599429,False, , ,0, , , , , , 
TRACK,1.7.1-3,-16.44631682074505,-71.56186456971247,-1946318.7645621,2834807.66016571,False, , ,0, , , , , , 
TRACK,1.7.1-4, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.7.1-4,-16.44730699299627,-71.56193587508871,-1946434.15025987,2834786.64056516,False, , ,0, , , , , , 
TRACK,1.7.1-4,-16.44691313659126,-71.56157410218644,-1946392.45813962,2834832.78754169,False, , ,0, , , , , , 
TRACK,1.7.1-4,-16.44672195096153,-71.56141019904152,-1946372.07227707,2834853.86130001,False, , ,0, , , , , , 
TRACK,1.7.1-4,-16.44656942161757,-71.56163837448094,-1946351.2820501,2834829.99474634,False, , ,0, , , , , , 
TRACK,1.7.1-4,-16.44687255622886,-71.56193089602191,-1946383.19325187,2834792.88164746,False, , ,0, , , , , , 
TRACK,1.7.1-4,-16.44711521221908,-71.56213921814225,-1946409.06359027,2834766.10138273,False, , ,0, , , , , , 
TRACK,1.7.1-5, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.7.1-5,-16.44732583428428,-71.56189559347121,-1946436.87091771,2834790.9595414,False, , ,0, , , , , , 
TRACK,1.7.1-5,-16.44751111035967,-71.56167695678447,-1946461.38662948,2834813.31691028,False, , ,0, , , , , , 
TRACK,1.7.1-5,-16.44693454214977,-71.56115871093186,-1946400.21019789,2834879.58504216,False, , ,0, , , , , , 
TRACK,1.7.1-5,-16.44674552616168,-71.56137506405514,-1946375.28399063,2834857.53516958,False, , ,0, , , , , , 
TRACK,1.7.1-6, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.7.1-6,-16.446693074878,-71.56132593053242,-1946369.74372585,2834863.7889792,False, , ,0, , , , , , 
TRACK,1.7.1-6,-16.44688482397597,-71.56110971839405,-1946394.9891382,2834885.78717457,False, , ,0, , , , , , 
TRACK,1.7.1-6,-16.44648312219324,-71.56072103000776,-1946352.71494618,2834935.08750333,False, , ,0, , , , , , 
TRACK,1.7.1-6,-16.44625317543767,-71.56080690458383,-1946324.62712928,2834928.35987329,False, , ,0, , , , , , 
TRACK,1.7.1-6,-16.44636573559679,-71.5609761978525,-1946335.71134106,2834907.70251465,False, , ,0, , , , , , 
TRACK,1.7.1-7, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.7.1-7,-16.44754125108412,-71.5616635021639,-1946465.09599648,2834814.44787824,False, , ,0, , , , , , 
TRACK,1.7.1-7,-16.44770518095643,-71.56139560577097,-1946487.72612047,2834842.66681312,False, , ,0, , , , , , 
TRACK,1.7.1-7,-16.44729875561247,-71.56107421242102,-1946444.04881343,2834884.40203208,False, , ,0, , , , , , 
TRACK,1.7.1-7,-16.4472437902737,-71.56105276490855,-1946437.86418109,2834887.55100152,False, , ,0, , , , , , 
TRACK,1.7.1-7,-16.44704099230548,-71.56102655883386,-1946414.37816017,2834893.17110456,False, , ,0, , , , , , 
TRACK,1.7.1-7,-16.44695168849901,-71.56113082756885,-1946402.5754784,2834882.52106925,False, , ,0, , , , , , 
TRACK,1.7.2-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.7.2-1,-16.44775591963305,-71.56129521483628,-1946494.95084531,2834853.38123149,False, , ,0, , , , , , 
TRACK,1.7.2-1,-16.44797480781342,-71.56096500719866,-1946524.82120642,2834887.94373857,False, , ,0, , , , , , 
TRACK,1.7.2-1,-16.44759607706531,-71.56071390622809,-1946483.50993012,2834921.35088443,False, , ,0, , , , , , 
TRACK,1.7.2-1,-16.44745572651299,-71.56087573132071,-1946464.98642164,2834904.84502999,False, , ,0, , , , , , 
TRACK,1.7.2-1,-16.44734982474195,-71.56101132177038,-1946450.8394467,2834890.86219899,False, , ,0, , , , , , 
TRACK,1.7.2-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.7.2-2,-16.44801311746055,-71.56092619120692,-1946529.80979047,2834891.84217321,False, , ,0, , , , , , 
TRACK,1.7.2-2,-16.44832519196792,-71.5604512049769,-1946572.45003035,2834941.59475411,False, , ,0, , , , , , 
TRACK,1.7.2-2,-16.44793486472714,-71.56017797885663,-1946530.0559439,2834977.66120846,False, , ,0, , , , , , 
TRACK,1.7.2-2,-16.44765712926237,-71.56066653627332,-1946491.27727442,2834925.92157047,False, , ,0, , , , , , 
TRACK,1.7.2-3, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.7.2-3,-16.44736971970941,-71.56017697794174,-1946463.69792796,2834985.16038781,False, , ,0, , , , , , 
