type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.13.1-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.13.1-1,-16.44625849016615,-71.50088136366171,8180050.20377422,232957.045823784,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.4464860148674,-71.50084248430895,8180025.06628715,232961.511045392,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.44647743728383,-71.500752997999,8180026.13411404,232971.059730516,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.4464560615531,-71.50072220749161,8180028.54125812,232974.320027184,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.4463779492875,-71.50075667934006,8180037.1433873,232970.530236948,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.44623478151692,-71.50077658336474,8180052.96693861,232968.207769102,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.44622178106232,-71.50071238068665,8180054.49100897,232975.049187603,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.44619641222721,-71.50071717833016,8180057.29320906,232974.501895376,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.4461749761213,-71.50067426021649,8180059.72305631,232979.057791081,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.4461694173027,-71.50064225168552,8180060.38074561,232982.469874779,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.44614713597447,-71.50064335053428,8180062.84601946,232982.321977699,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.44614969960126,-71.50062161124922,8180062.59092179,232984.648045363,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.4461354603531,-71.50059942103209,8180064.19663526,232986.999289192,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.44590972210347,-71.50070027023928,8180089.05448883,232975.915865548,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.4459212826467,-71.50074823934186,8180087.71127509,232970.806812166,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.4458653744368,-71.50080396345331,8180093.8271592,232964.776878765,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.44593854136681,-71.50088016590154,8180085.62631259,232956.735791567,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.44577027449361,-71.50114420637168,8180103.90600138,232928.296109008,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.44580213912047,-71.50117553011799,8180100.33693986,232924.993194209,False, , ,0, , , , , , 
TRACK,1.13.1-1,-16.4461089184896,-71.50097217065859,8180066.64261899,232947.139520298,False, , ,0, , , , , , 
TRACK,1.13.1-2, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.13.1-2,-16.44549477677048,-71.50133416688705,8180134.15487978,232907.624059461,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44536936788879,-71.50136085329162,8180148.00341443,232904.601248914,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44538493004412,-71.50148568296658,8180146.11561489,232891.286077585,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.4455500369993,-71.5014624036349,8180127.86767518,232893.99925023,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44554901651032,-71.50142806731925,8180128.02602204,232897.66625275,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44557378411771,-71.50142145181788,8180125.29278526,232898.406947303,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44557757386145,-71.50139643204398,8180124.90628889,232901.085181315,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44566207493312,-71.50138794388775,8180115.56254016,232902.107731866,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.4456734126198,-71.50150637238637,8180114.15087812,232889.470680602,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44570329724609,-71.50150167444332,8180110.84861151,232890.013515995,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44569626901511,-71.50146472129302,8180111.67552381,232893.951864965,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44574061675339,-71.50145608768399,8180106.77727199,232894.934978837,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44573332625475,-71.50150015859315,8180107.52615578,232890.216583051,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44580988982321,-71.50157127434299,8180098.95596409,232882.723613458,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44603193095099,-71.50126912415021,8180074.77343247,232915.308495014,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44597850330105,-71.50120190876449,8180080.77712262,232922.416438273,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44594652079751,-71.50117234589226,8180084.35690847,232925.531061149,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.4459173695721,-71.50116378512938,8180087.5954995,232926.405757033,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44586308188917,-71.50116881963601,8180093.5989405,232925.793559607,False, , ,0, , , , , , 
TRACK,1.13.1-2,-16.44570178552207,-71.50130008354228,8180111.28234158,232911.548859333,False, , ,0, , , , , , 
TRACK,1.13.1-3, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.13.1-3,-16.44510899740047,-71.50128074667451,8180176.93441097,232912.803156131,False, , ,0, , , , , , 
TRACK,1.13.1-3,-16.44500361068387,-71.50128450242836,8180188.59662466,232912.257615889,False, , ,0, , , , , , 
TRACK,1.13.1-3,-16.44486909111717,-71.50125497036729,8180203.52806448,232915.228583573,False, , ,0, , , , , , 
TRACK,1.13.1-3,-16.44476899652184,-71.50120442928801,8180214.67613256,232920.491241991,False, , ,0, , , , , , 
TRACK,1.13.1-3,-16.44467648586316,-71.50117654199269,8180224.95466562,232923.344009077,False, , ,0, , , , , , 
TRACK,1.13.1-3,-16.44460359511299,-71.50117298501695,8180233.02896934,232923.624240817,False, , ,0, , , , , , 
TRACK,1.13.1-3,-16.44448557699009,-71.50115951327759,8180246.1123422,232924.901966675,False, , ,0, , , , , , 
TRACK,1.13.1-3,-16.44439943605022,-71.50121421288235,8180255.57658579,232918.940048996,False, , ,0, , , , , , 
TRACK,1.13.1-3,-16.44445602460811,-71.50127092912786,8180249.23683626,232912.958074508,False, , ,0, , , , , , 
TRACK,1.13.1-3,-16.44449005981426,-71.50135974039375,8180245.35152132,232903.516262049,False, , ,0, , , , , , 
TRACK,1.13.1-3,-16.4446645316646,-71.50130399323879,8180226.10970761,232909.711034543,False, , ,0, , , , , , 
TRACK,1.13.1-3,-16.44510762973647,-71.5013373984969,8180177.01097156,232906.748741811,False, , ,0, , , , , , 
TRACK,1.13.1-4, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.13.1-4,-16.44421513891984,-71.50145999840568,8180275.65505969,232892.428502724,False, , ,0, , , , , , 
TRACK,1.13.1-4,-16.44441874255244,-71.5014915265315,8180253.07280479,232889.338863436,False, , ,0, , , , , , 
