type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.18.1-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.18.1-1,-16.43914086801184,-71.59105372430857,-1945108.40632546,2831593.44585679,False, , ,0, , , , , , 
TRACK,1.18.1-1,-16.43860727309021,-71.59059245216089,-1945051.55556229,2831652.67465322,False, , ,0, , , , , , 
TRACK,1.18.1-1,-16.43849898123177,-71.59075222727658,-1945036.82923342,2831635.98101803,False, , ,0, , , , , , 
TRACK,1.18.1-1,-16.43905428333986,-71.59124278990886,-1945095.86033106,2831573.1501265,False, , ,0, , , , , , 
TRACK,1.18.1-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.18.1-2,-16.43919040257837,-71.59080605830398,-1945117.33933103,2831620.86524449,False, , ,0, , , , , , 
TRACK,1.18.1-2,-16.43874674732754,-71.59037226157508,-1945070.70367832,2831675.807934,False, , ,0, , , , , , 
TRACK,1.18.1-2,-16.43861494410134,-71.59056353176993,-1945052.82023092,2831655.85188002,False, , ,0, , , , , , 
TRACK,1.18.1-2,-16.43912863294822,-71.59101703858265,-1945107.43131908,2831597.76258642,False, , ,0, , , , , , 
TRACK,1.18.1-3, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.18.1-3,-16.43920624746891,-71.59076778178107,-1945119.68152857,2831624.99609775,False, , ,0, , , , , , 
TRACK,1.18.1-3,-16.43925784107958,-71.5905843915174,-1945128.04751863,2831645.10497508,False, , ,0, , , , , , 
TRACK,1.18.1-3,-16.4392885554066,-71.5904898425099,-1945132.84386298,2831655.41869108,False, , ,0, , , , , , 
TRACK,1.18.1-3,-16.43890663321795,-71.59013209016653,-1945092.50007976,2831700.93924377,False, , ,0, , , , , , 
TRACK,1.18.1-3,-16.43877575973686,-71.59035656194894,-1945074.3079223,2831677.20870257,False, , ,0, , , , , , 
TRACK,1.18.1-4, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.18.1-4,-16.43808577818817,-71.58978768643517,-1945000.44787227,2831750.67083828,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.43876389646811,-71.59032144734705,-1945073.35680462,2831681.34257396,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.4388887775318,-71.59012557100827,-1945090.48547594,2831701.91082917,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.43852166429043,-71.58979863872742,-1945051.49262067,2831743.74591431,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.43837669563634,-71.58972195433584,-1945035.43514381,2831754.32618046,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.43815607546086,-71.58955723508029,-1945011.60234713,2831775.8690964,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.43797502643223,-71.58944378843118,-1944991.77082084,2831791.08579036,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.4378479413788,-71.58959188015155,-1944974.98462129,2831775.96103031,False, , ,0, , , , , , 
TRACK,1.18.1-5, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.18.1-5,-16.43794540967283,-71.59017691985338,-1944979.06749871,2831708.3929914,False, , ,0, , , , , , 
TRACK,1.18.1-5,-16.43827391908144,-71.59000548387259,-1945019.79896106,2831723.5366621,False, , ,0, , , , , , 
TRACK,1.18.1-5,-16.43814247749552,-71.5898842390736,-1945005.89059429,2831738.99010648,False, , ,0, , , , , , 
TRACK,1.18.1-5,-16.43803382857635,-71.58991791794765,-1944992.70902314,2831736.59031545,False, , ,0, , , , , , 
